,id,model,pam,price,retail_price,year,box,papers,gender,movement,case_size,case_material,bracelet_material,dial_type,w_resistance,date,link,img_path
85,159627,Luminor Marina,PAM00022,6550,,1999,Yes,Yes,Mens,Manual,44 MM,Steel,Rubber - Black,Black Quarter Arabic,300 metres,25/10/2020 11:30:43,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00022/44721/item/159627,../data/imgs/WF_panerai/159627_PAM00022_Luminor Marina.jpeg
86,147906,Luminor GMT,PAM00535,6665,8290,2015,Yes,Yes,Mens,Automatic,42 MM,Steel,Alligator - Brown,Black Baton,100 metres,25/10/2020 11:30:47,https://www.watchfinder.es/Panerai/LuminorGMT/PAM00535/38953/item/147906,../data/imgs/WF_panerai/147906_PAM00535_Luminor GMT.jpeg
87,148565,Luminor GMT,PAM00088,5740,,2002,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Baton,300 metres,25/10/2020 11:30:50,https://www.watchfinder.es/Panerai/LuminorGMT/PAM00088/35789/item/148565,../data/imgs/WF_panerai/148565_PAM00088_Luminor GMT.jpeg
88,164740,Luminor Chrono,PAM00122,6440,,2004,Yes,Yes,Mens,Automatic,40 MM,Steel & Titanium,Steel & Titanium,Grey Arabic,200 metres,25/10/2020 11:30:53,https://www.watchfinder.es/Panerai/LuminorChrono/PAM00122/32505/item/164740,../data/imgs/WF_panerai/164740_PAM00122_Luminor Chrono.jpeg
89,161205,Luminor 8 Days,PAM00786,14280,19490,2016,Yes,Yes,Mens,Automatic,44 MM,Steel,Alligator - Blue,White Quarter Arabic,300 metres,25/10/2020 11:30:56,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00786/33317/item/161205,../data/imgs/WF_panerai/161205_PAM00786_Luminor 8 Days.jpeg
90,116524,Luminor 8 Days,PAM00786,14280,19490,2018,Yes,Yes,Mens,Automatic,44 MM,Steel,Alligator - Blue,White Quarter Arabic,0,25/10/2020 11:31:00,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00786/33317/item/116524,../data/imgs/WF_panerai/116524_PAM00786_Luminor 8 Days.jpeg
91,163355,Luminor 8 Days,PAM00233,9325,,2008,Yes,Yes,Mens,Manual,44 MM,Steel,Rubber - Black,Black Baton,100 metres,25/10/2020 11:31:03,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00233/37275/item/163355,../data/imgs/WF_panerai/163355_PAM00233_Luminor 8 Days.jpeg
92,145967,Luminor 8 Days,PAM00233,7505,11145,2007,Yes,Yes,Mens,Manual,44 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:31:07,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00233/6322/item/145967,../data/imgs/WF_panerai/145967_PAM00233_Luminor 8 Days.jpeg
93,165018,Luminor 8 Days,PAM00233,8290,,2009,Yes,Yes,Mens,Manual,44 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:31:10,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00233/6322/item/165018,../data/imgs/WF_panerai/165018_PAM00233_Luminor 8 Days.jpeg
94,156964,Luminor 8 Days,PAM00233,8345,,2013,Yes,Yes,Mens,Manual,44 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:31:14,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00233/6322/item/156964,../data/imgs/WF_panerai/156964_PAM00233_Luminor 8 Days.jpeg
95,162429,Luminor 8 Days,PAM00233,8400,,2015,Yes,Yes,Mens,Manual,44 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:31:17,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00233/6322/item/162429,../data/imgs/WF_panerai/162429_PAM00233_Luminor 8 Days.jpeg
96,144049,Luminor GMT,PAM01535,7085,8290,2018,No,Yes,Mens,Automatic,42 MM,Steel,Calf - Black,Black Baton,100 metres,25/10/2020 11:31:20,https://www.watchfinder.es/Panerai/LuminorGMT/PAM01535/36350/item/144049,../data/imgs/WF_panerai/144049_PAM01535_Luminor GMT.jpeg
97,150720,Luminor 1950,PAM00441,9410,10750,2015,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Calf - Brown,Black Arabic,100 metres,25/10/2020 11:31:23,https://www.watchfinder.es/Panerai/Luminor1950/PAM00441/23842/item/150720,../data/imgs/WF_panerai/150720_PAM00441_Luminor 1950.jpeg
98,144391,Luminor 1950,PAM00441,9940,10750,2018,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Calf - Brown,Black Arabic,100 metres,25/10/2020 11:31:27,https://www.watchfinder.es/Panerai/Luminor1950/PAM00441/23842/item/144391,../data/imgs/WF_panerai/144391_PAM00441_Luminor 1950.jpeg
99,160443,Luminor Power Reserve,PAM00423,7225,8735,2018,Yes,Yes,Mens,Manual,47 MM,Steel,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:31:30,https://www.watchfinder.es/Panerai/LuminorPowerReserve/PAM00423/23839/item/160443,../data/imgs/WF_panerai/160443_PAM00423_Luminor Power Reserve.jpeg
100,157984,Luminor 1950,PAM00372,6410,8625,2012,Yes,Yes,Mens,Manual,47 MM,Steel,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:31:33,https://www.watchfinder.es/Panerai/Luminor1950/PAM00372/23136/item/157984,../data/imgs/WF_panerai/157984_PAM00372_Luminor 1950.jpeg
